,tweet,class
950,actin like th day spook,2
951,huh lol mad nigger mad,0
952,lemme find bitch nigga talking shit,0
953,george michael fag,0
954,yeah know angloamerican principlesslavery hate racism,2
955,straight bench ned worldcup,2
956,music suggestion lil spook,2
957,whyihateinstagram make bitch cheat four points scale,1
958,love fuck niggas hoes,1
959,swear oomf try talking tomorrow pussy,1
960,white boy talmbout ight ill see tomorrow school nigger,0
961,wanna gimme baby look coolieit might could work lol,2
962,u got k bitch niggaal haymon antonio tarver,1
963,pornandroidiphoneipadsexxxx oldyoung old bitch pleases hotlooking young stud,1
964,hate birds piss fact cant fly,2
965,splash onna bitch wednesday tomorrow,1
966,hoe hoe shhhhh,1
967,jew favorited tweet though lol dont anymore time trash,0
968,lmao rt tempted send fuckin hoe lmao,1
969,youtube bear vs monkey bike race,2
970,rt swear niggas use step one foot bus bitches would like nextttt,1
971,charlie strong texas back power better power big anybodys,2
972,rt lotta fck niggas twitter really talking like bitches,1
973,kick dem fucc niccas da spot,0
974,bout ride horse come fuck yo bitchooh em tho,1
975,midwest us white trash,0
976,lying ass hoes lol,0
977,facto cares hoe ass looks like,1
978,chug ranch,2
979,two best yankees derek jeter joe torre joetorreday,2
980,crip bitches b dusty asf,1
981,faggot,0
982,crack whip cracker,1
983,police tried rodney king niggahappen nig,1
984,brownies brownie love movie,2
985,fucking bitch rachel needs die please,1
986,ghetto fool,2
987,whitey bois gone ride,2
988,nowplaying ian hunter bitten twice shy thearrow,2
989,remember keep skirt dark colored camouflages pan dimensional gore,2
990,mutation genealogy convoluted basically zebra gene currieries slaughteredextinction,2
991,bitch ungrateful fr lulwhore,1
992,favorite nigger work plantation remember next time ask watermelon dont steal,0
993,bitch freak shit,1
994,hate ya bitch ass,1
995,showing yankees game arizona promo washington huskies game bet would want business,2
996,fag,0
997,soo putting crackers gregg,2
998,got couple bitches saying know ima let money talk im like wwyd,1
999,ima steal cat n replace pitbull rt bitch,1
1000,bitch fresh,1
1001,jiggaboo,0
1002,amo los pies fuck yeah,1
1003,told mariam cigarettes birthday also called trash rn,2
1004,gave bitch bib since wanna act messy,1
1005,pussy stank,1
1006,weird local ghetto school haha,2
1007,im suppose eat yo booty bitch wym,1
1008,dry pussy bitches always blame condom,1
1009,stacey dash baddest bitch evaaaa,0
1010,understand look like real life dyke right like look like wnba dyke bro sports bra amp bball shorts wearing dyke,0
1011,appropriately guy wears wv yellow rick james face,2
1012,bitch looking dumber dumber minute gtgtgtgtgtgtgt,1
1013,blessjesus amos two walk together unless agreed differentlevels,2
1014,us decided drink everclear go yankees game two made seat,2
1015,cause look great bitch fuck mean,1
1016,faggots drive stick,0
1017,captain save hoe annoying phrase,1
1018,bitch u around world back,1
1019,kno love stuffed clams bai,2
1020,truefriendtuesday bitch,1
1021,yellow shirt hat turnt da side,2
1022,atl bvb sws ptv relapse symphony set farewell love mayday parade fob paramore etc,2
1023,fags,0
1024,bet bitches kim bye,1
1025,good jeter hero yankees sendoff via,2
1026,queer,1
1027,yes das def da problemif histeacher spear chucker woulda gt dose rite,2
1028,best asian massage park slope top rated spa,2
1029,bartending becomes real bitch bartender way way taller bar designed holy back pains,1
1030,call house nigger shes racist fathom hypocrisy statement,0
1031,damn browniesi swear lmao,1
1032,faggots,0
1033,side bitch sunday,1
1034,youve talking trash since,2
1035,look like fucking shrek bitch,0
1036,cant stop lil bitch,1
1037,firefighter job white trash,0
1038,camels ostriches zebras see races vccamelraces,2
1039,iont got type bad bitches thing like ayeee throw ass sphere,1
1040,hit lights line toco bell morning dianas back house miracle charlie,2
1041,like ur domes smart,2
1042,global ambassador something put ppl des nuts hoe ahh nigga,1
1043,word rt beat fucking faggots pls,0
1044,fucking pussy couldnt even beat dick angry youtube comment,1
1045,yup fuck em playing like trash rt clippers dont wanna play lol,1
1046,iubb games im bloomington btown good ncaa basketball college indiana iu hoosiers,2
1047,im mad cuh hahaha suure tuku ho ita,2
1048,grandmas always b asking girlfriend noi got hoes tf mean real shit,1
1049,burnt pussy lips,1
1050,would spend money trash like,2
1051,rt kawhi leonard smh rt wow u really gonna leak ou nvm rt ion need fuc nig http,0
1052,ahah fucking queer kill urself,0
1053,could get matching burner phones ghetto fab months,2
1054,fyi favorite type bitches,1
1055,ive like pairtheyre overpriced trash,2
1056,purpose charlie,2
1057,get cunt,0
1058,aint special niglet rt im chilling wit greg ppl walk ask take picshatin,0
1059,average basic basic trash,2
1060,yellow,2
1061,welcome back b without daily rants tl trash af,2
1062,yellow spots,2
1063,bad bitches bad start talking anyway preaching,1
1064,aint bitch,1
1065,dont fuck youuu u lil stupid ass bitch aint fuckin wit u lil dumbass bitch aint fuckin wit,1
1066,hickies thighs right pussy gtgtgt right,1
1067,yankees royals fire sale want whole team leave gardner tanaka rest please go along joe cash,2
1068,rednecks none keep fire lit,0
1069,bitch couldnt kill vibe ya tried dis love miley,1
1070,ill agree take ethiopian starvin looking nigger ass back africa buyfoodlittleguy,0
1071,roman catholics us trash give catholics europe bad name,0
1072,whoever made twitter doesnt like lakers r making comeback accnt still continues trash talk em,2
1073,members nontraditional religions subhuman trash,0
1074,yellow even better,2
1075,dont got time bitches actin iffy,1
1076,yall boring sex nope lick side bitch face im hittin back,1
1077,nigger fighter huh,0
1078,lmaooooo epic bird wins,2
1079,ghetto driving nice car pay lot rent drive lexus pay little rent saying,2
1080,yeahbut cripple getting clean helped call outwouldnt fair either way,2
1081,fuck girls peep change nigga squared bitch ass,1
1082,miss eating speak miss red bone cooking,2
1083,rt look faggot,0
1084,rt everybody tryna fuck next nigga bitch knowin bitch next nigga bitch,0
1085,little girl tom sawyer gets trapped cave along injun joe almost die injun joe dies find treasure,2
1086,buddy drug whole train lmao good extra ass hoes hate ny hoesme,1
1087,people faggots like born way big douche bag,0
1088,reminds oreos lmao,2
1089,yankees like florida state floridians,2
1090,big yute slits brows darg lol drop,2
1091,white trash watch football,0
1092,already going look side hoes daddy walk room,1
1093,men hop feelings much quicker women hop ya bitch,1
1094,yo bitch ass needs boss fuck,0
1095,fuckin yankees ill months ill meet pussy,0
1096,life knocks stand fuck say hit like little bitch,1
1097,blacks california typical niggers,0
1098,niggas talk bitches days,1
1099,dont hurt little faggot,0
1100,youre fucking ugly bitch wanna stab death play around blood patrick bateman,0
1101,brandon jennings trash,2
1102,hoe bad,1
1103,call fireman cause turn hoes,1
1104,thats nice color combo love blue yellow,2
1105,whats good familyin gym looking hoes hit u later,1
1106,chicks love ugly hipster faggots prolly cause look like dad never life,0
1107,goes olive garden turns cracker goes black friday shopping turns nigger,0
1108,orangutan tried sex actress julia robertssmart monkey,1
1109,hoes lying us nigga got news monogamous niggas yo bitch fucking anonymous niggas,0
1110,tony romo topqbs bitches,1
1111,niggas probably watching like look uncle tom ass rasta,0
1112,askim would rather drink squirrel pee johnny depps wig charlie chocolate factory,2
1113,hahamonkey feeti like itbut realfeet magical backit smoothes every nook cranny tightness,2
1114,always thought golden oreos original oreos oh god climaxed,2
1115,hey sir house nigger uncle tom arent grand ole mississippi rest case,0
1116,yankees wasted nuezs season rays mlb,2
1117,know shit eatin grin either fucked girl dreams sold car know youre faggot whatd sell,1
1118,people time aryan race stand say mongerls turn world ghetto slum,0
1119,ima keep giving pussy ass niggas ah reason hate,1
1120,shockingly true tale oreo almost got devoured,2
1121,quick game sox yankshope get home soon,2
1122,well im going sleep fag,1
1123,day feel bout colored folk,2
1124,rt lebron still bitch suck nigger hope die,0
1125,miss pussy,1
1126,thank mick,2
1127,strong force leprechauns,2
1128,alfredo aceves relieve th yankees needs go away gas,2
1129,bitches twerk computer ya ya damn,1
1130,cant stand faggot,0
1131,hear bill likes trailer trash like,0
1132,rt another jersey fail cunt pics needed animal dem coloreds wack,1
1133,game winning hit thursday capped great career guy st ballot hof else,2
1134,would perfect wa graham cracker flavored bun maple dougnut bar,2
1135,dont chase dudes chase bitches edgar bautista,1
1136,mt commission gouache tiki wahine monkey tubed surfing wavesliding waterwalker notkook,2
1137,rt nigguh chris paul,0
1138,shut dirty dirt trap limp knees ashy footed blue balls isolated hamster wheel nipples bitch,0
1139,tbt took likkle monkey jimmys,2
1140,blessjesus amos hate one upholds justice court detest one tells truth,2
1141,get u mad go search bar search stupid niggers amp hop somebodys head mention lol,0
1142,support lesbians support faggots theres difference,0
1143,attn brown university students stop frisk protesters systematically dispersed random us ghettos good luck,2
1144,yellow cake amp chocolate frosting,2
1145,prime leija would trash dudes today,2
1146,whaaaaaat lmaooo thats luv u fat bitches cuz yall got big ole titties phat booties,1
1147,rt ur faggot change name bday get bday tweets aint fb nigga fuck yo birthday,0
1148,live version pulledpork clams babyjesus lilsmokey,2
1149,im viswa moulie wanna ur friend please shall,2
1150,wasnt great either rt equalizer trash denzel officially washed bruhneither flight,2
1151,bestsongtohavesexto bitches love sosa bangbang,1
1152,ugh put one dead center,2
1153,band sucked worse live fags guns amp poses,0
1154,getting blocked faggot,0
1155,get shit bitch fine bear,1
1156,little fag least fuck woman kids plus work support hipster homo,0
1157,u gotta slow coon hrs know love n hip hop lebron amp fake love quotes,0
1158,literally eat asshole living actually faggot seem little confused,0
1159,hahaha chunky goalkeeper makes save stomach,2
1160,essence fest anyone ill main stage stepping uncle charlie,2
1161,happy birthday nicca coon shit responsible way,0
1162,bitch look like fucking white trash trailer park queen lookin man bear pig,0
1163,got hicks lol,2
1164,dont kids one queers,0
1165,selling soul material wishes fast cars bitches tupac smile remix,1
1166,scrappy always reunion hella hoes real nigga lmao,1
1167,lol trash would kept cute,2
1168,retarded,0
1169,still fucn ya exna bitch corny,1
1170,youre racist white people whigger antiracist codeword antiwhite antizionist codeword antisemite,0
1171,yeah ok nigger,0
1172,yall shut upp make bitch,1
1173,birds wasnt port birds,2
1174,rt well else white ppl get us forget horrific past paint pretty picture ho,0
1175,hey pussy still,1
1176,rt niggers ignorant,0
1177,nah dude mostly sound like faggot,0
1178,lakers really trash,2
1179,fingers crossed chug chug chug lol,2
1180,tranny,2
1181,rejectedpeanutsspecials grape crackhead charlie brown,2
1182,usc senior rb anthony brown calls head coach steve sarkisian racist quits team hes bitch,2
1183,thats true idk even convo dumb nigger attention whore,0
1184,bout ike couple hours,2
1185,sitting bar work watching walking dead fucking wetbacks decide come amp turn spic music jesus christ,0
1186,hoes gon come ampamp go feel,1
1187,spongebob beating bitches,1
1188,burnnotice fi shoots bean bag rounds guy hurts like bitch dont,1
1189,roid rage much faggot,0
1190,mickey mouse ears hatand tail matter,2
1191,fat ass hoe holding machine,0
1192,know faggot literally thousands people radar homo,0
1193,lol getting thisearly bird catches worm,2
1194,said bullshit damn niggers,0
1195,hate nigger,0
1196,im upset got faggots show,0
1197,lmaoo abo crusty hands,2
1198,cunt,0
1199,yall coons n uncle toms,0
1200,niggers disgust dealt years ago wouldnt problems,0
1201,dont think anyone mocking man ive seen people mock bespectacle social media mourning cultural zeitgeist,2
1202,queer ass shorts rabchenko got,0
1203,also bird city math theorem make assumptions,2
1204,yu forgot beat yall thats like garbage man calling janitor trash,2
1205,big booty hoes everywhere sheesh damn,1
1206,well thats cracker jack secret service work jfk anyone,2
1207,answer snapchat faggot butthurt,0
1208,chrus still supahot tho walks teacher test drops test bitch fohead,1
1209,lmao rt pound cake look like pussy,1
1210,bitch hurry lolim hungry cant focus,1
1211,fuck bitch get mi house,1
1212,good enough fag,0
1213,pornandroidiphoneipadsexxxx closeup pussy fuck close,1
1214,sitting window sill window open bird tries fly smacked protecttheanimals,2
1215,long lakers trash could careless thats real cc hahaha,2
1216,tbt bad bitch,1
1217,call yellow bone,2
1218,straight men frustrated unlike okcupid queer folks dont ability block,0
1219,rt rt every bad bitch nigga treats like shit amp yet stay wanna,0
1220,stop pussy son shove needle heart afterearth,1
1221,like dark light carmel white red tan yellow blue purple green doesnt matter color,2
1222,wanna something somebodyboy sound desperate hoe bout start flat nose,1
1223,still awake yay time chug coffee red bull foreseeable future hopefully pass behind wheel,2
1224,studies show youre faggot,0
1225,throw birds long pointy beaks,2
1226,let coons great dream,2
1227,whites pies well negro pies,0
1228,chunky,2
1229,oreo cookies,2
1230,rt u hoes going church morning like yall wasnt busting wide open niggas hours ago,0
1231,cant wait day take boon entire nation,2
1232,trenton gossman sexiest hillbilly ever seen,1
1233,bruh hoes gotta stupid,1
1234,fuck ya little bitch look like mexican sucking cock ur profile,0
1235,lmaoo fag,0
1236,rt banks show engagement queer community hire trans women,0
1237,ginobli dropping bitches like delta line,1
1238,go sleep bitchstfu,1
1239,heard thigh gaps way telling bitch pussy loose,1
1240,fucking slutty beaner,0
1241,u say ur mermaid obviously means ur pussy fishy,1
1242,fuck boi fag,0
1243,ion eat cat bitch gay,1
1244,faggot,0
1245,leave bitchin bitches,1
1246,wcw bitch,1
1247,rt apartheid pedestrian check show freedom papers darkies,0
1248,scanger,2
1249,bitch must lost,1
1250,rt recruited buku fags herea warehouse place,0
1251,rt nope thts wht says rt im hoe im people person,1
1252,fell asleep,2
1253,hoe shit bro rt x better rn nigga high,0
1254,yall niggas b cuffing hoes cause yall aint never bitches,1
1255,black bottle amp bad bitch,1
1256,idk mouthy spics welfare kids baby daddys,0
1257,kill ugly ass monkey looking shit,0
1258,hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitches,1
1259,pulled pocket constitution bring man mocked mccains wackobirds comment hahaha standtall,2
1260,thought ghetto word babe,2
1261,humans evil man cutting tusks beautiful animals chinks think get hard,0
1262,thank dawn see state bird graces avatar,2
1263,delete bitch ass nigga rt redskins beat us delete fucking ig,0
1264,wish dad life bitch ass nigga still think im child lmfaoooo damn thats sad cuh,1
1265,bitches like messy bun,1
1266,girls dated okay aint mad yo unless stabbed heart love hoe,1
1267,pornandroidiphoneipadsexxxx closeup squirting pussy fingered asshole,1
1268,first thing hit lotto buying two fat bitches watching eat one sitting,0
1269,slushes hoes nasty anyway fam,1
1270,chicken fried steak boys mash potatoes gravy green beans corn ice cream brownies,2
1271,gold white yellow,2
1272,oomef yeah kno pussy whipped nigga putting ring,1
1273,looks prime trash pick,2
1274,lifes bitch die thats get high cause neva know youre gonna go sister perfect,1
1275,happycolumbusday hate sound peta callous allbut buffalo lot worse injuns,2
1276,historical point cracker term irish settling woods midatlantic hardly offensive,2
1277,theres always onethey never realize worst unsolicited unaffiliated trash talker,2
1278,advice day trannygo fuck self,0
1279,live eye white trash hurricane milwaukie people use bikes bc duis save environment,0
1280,son bitch moment walking house dark stub little toe wall,1
1281,remember dad running rotary hoe corn freeze knock dead leaves turn brown,2
1282,everything jayz writes trash,2
1283,whats chinks email im moving china slicing throat,0
1284,liberty justice rt go get sandwich nigger ill kill,0
1285,yeah people know hes trash game limited showed late games portland,2
1286,fuk wit real nicca,0
1287,job us prez protect us throw trashebola er cost daniel money amp lives dog,2
1288,greaser,2
1289,rt mimi old covering titties sex bitch childish,1
1290,females know hoes really coolest chicksall sex asideslmao,1
1291,stop looking us go eat pussy yuppie fucks,1
1292,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill,1
1293,pussy still fresh lt something stank girls say,1
1294,thats true ways gaming broad days tho everyone gamer candy crush angry birds,2
1295,faves rt snoop justin much fun charlie wilson tribute betawards,2
1296,hate dumb bitches,0
1297,come wage us fag,0
1298,rt nigga screamed like lil bitch lol,0
1299,pornandroidiphoneipadsexxxx latina latina chick gets pussy pumped,1
1300,ceasefirelets see long towel heads go without trying attack israel cry national media get popped,0
1301,xfactorau sick guys sing like pussies rock type men,1
1302,americans would hire white trash ties international terrorism police officers,0
1303,rt joshua faggot suspend grounds,0
1304,rt hate hoe already shit cracks,0
1305,rt man trying eat nigga said bitches showed nothin,0
1306,reasonswhywedontgetalong youre hoe stop focusing sucking dick focus getting rich,1
1307,lmao dude probably biggest fag nebraska,0
1308,using mx b measure slope ass girl,1
1309,rt hoe give number another nigga got man,0
1310,yall bios trash mine pretty good,2
1311,yes stalking weird people many things prchat,2
1312,got hella hoes,1
1313,myunpopularopinion spanish bitches suck dick babies theyre already fine dressing slutty,1
1314,rappers say twat makes feel weird,2
1315,side hoes insecure niggas cant handle real one,1
1316,walking amp little birds pitch doorstep singing sweet songs melodies pure amp true saying,2
1317,im feelin like malcolm middle bitches surround cant miss em,1
1318,mix retards aap maoists terroristscongies delusional retards,0
1319,hoes feel like photo didnt get enough favorites thats thirsty ass,1
1320,like retarded wutang clan,0
1321,better pipe pussy lmao wth even mean,1
1322,interesting hick,2
1323,wash butthole tongue little faggot,0
1324,like correct im wrong doesnt pimpin involve smackin bitches money,1
1325,grand opening top class oriental massage perfect,2
1326,looking royals wondering could didnt decimate yankee farm system,2
1327,pornandroidiphoneipadsexxxx fisting whipped cream fisting,1
1328,really deleted flappy bird app store cus someone killed foreal foreal,2
1329,rt nigga wanna bitch party yall know address knock door,0
1330,monkey look like,2
1331,rt rudy gay faggot changing last name got money,0
1332,rt happy birthday faggot,0
1333,best asian massage park slope top rated spa,2
1334,black bitches dont kickin school bitches still comin wit durags still head nd shit,0
1335,amazing know say birds feather,2
1336,im sick u niggers,0
1337,yo boys pussy cats,1
1338,yeah youre gonna play retards wanna drugs day,2
1339,wonder nsa spook following,2
1340,aint show bout dem colored diamonds talk da radio diamond gets colored stolen,2
1341,sorry jb fanreally justin come back top comment justin timberlake video million views son fucking bitch,1
1342,bout trash huh,2
1343,want poms back lmfao,2
1344,white men pick trucks screaming nigger coach got nerve get mad missed free throw,0
1345,old hoes ponk dyke outchea girl talk,0
1346,youre faggot,0
1347,nah fam gotta cheat hoes depends female feel,1
1348,happy new year check yo clock hun got another hour lolthey lil count thing,2
1349,rt hate people get bad side cause honestly dont like act like bitch,1
1350,im going sell iphone macs dont support faggots,0
1351,need monkey bars tricycle,2
1352,yes true reagan firstike wouldnt president supreme allied commander,2
1353,girl plain looking borderline ugly amp chunky hey least shes got nice smile amp great personality,1
1354,rt hate trailer trash,0
1355,bitches even worst theyll send guys,1
1356,ghetto,2
1357,bitch fuck u maybe youll get better,1
1358,first time lol yuhhhh hit hoe,1
1359,rt nigga fuckin faggot,0
1360,yankee win makes day better,2
1361,ass slapping one greatest things haha slapped girl ass got mad aint get pussy week,1
1362,damn took dumb spic nearly days respond wuz really good tho beaner,0
1363,ltltbest name twitter ever aka jewbaccaltltsecond best name twitter,2
1364,wanted brownies man,2
1365,rt cheap hair cheap dresses cheap shoes tacky ass little bitches,1
1366,royals milwaukee let yost gonow wished hadnt cause suckhow nowhes guy win lose yankees fire girardi yost,2
1367,devil grows inside hearts selfish wicked white brown yellow black color restricted,2
1368,didnt mock anything asked believed noahs arc said mocking religion opinion thats,2
1369,thing better bargain yankee bargain,2
1370,pacernation road perfect way continue iubb finished nba pacers indiana hoosiers,2
1371,kim kardashian look like tranny surgery,0
1372,assume tranny went morning maxima,2
1373,drakes new shoes released nikejordan yes theres glitter shoes dudes fag,0
1374,stuck serious bitches possibly worst type girls ever,0
1375,jeff luhnow blame astros blowing red sox yankees hc,2
1376,rt youre safe pussy boy looooool,0
1377,like new avi twitter retarded shows cubs hat stalk profile show new one,0
1378,bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe,1
1379,dad yelled bout fry chicken like nigger,0
1380,gucci mane jail dropping mixtapes every month hoes cant even text back,1
1381,bitch u gone say bitch phone bitch cuz let mfs know,1
1382,woahh ahha remember charlie chocolate factory think killed lucy think abby,2
1383,im going murder fucking cunt,0
1384,aw drake sit corner cry listen lmfao pussy dick rider drakes cock taste faggot,0
1385,big bird holds press conf claims care letter f,2
1386,pussy tryna go studio dont call mufuckin crib like god yo word god buss yo shit god word,1
1387,lmao soft ass nigga trying act tough little bitch sit watch sidelines pussy,0
1388,go back nigeria faggot,0
1389,tweetlikelexi nah gonna sit gonna walk bitch,1
1390,ebola great thought panic bird flu bad really aint got time,2
1391,quickscoping trash take tony hawk setup play normally thats snipers,2
1392,dont likes dat magazine da black folk look like dey one chromeasome away da ape,0
1393,world dont spank monkey monkey spanks us,2
1394,gay niggas couldnt wait act like bitches tonight,1
1395,hate attempt make yellow light car infront stops light wanting fight,2
1396,pantera minutes alone minutes pussy boyill crush,0
1397,weather need flag today trying zip bitch tonight yessssirrrrr,1
1398,best asian massage park slope top rated spa,2
1399,well dirty bird could middle finger since phallic giving bird necessarily wobblewibbler,2
1400,rt still cant see niggers see white hoes dont everrrrrr,1
1401,love eating pussy lol never get full lol eat shit forever lol ever,1
1402,rt guiltypleasure watching niggers fight youtubevineig,1
1403,shake bear aka two rednecks sex dead bear,1
1404,post picture pussy get likes,1
1405,play soccer cheat girls wear khaki coloured cargos haircut yes lmfao,2
1406,versace versace talk shit twitter bitch blocked,1
1407,dont want sex gf feel like im using anonymous whata faggot,1
1408,charlie please stop ole fart another,2
1409,im fucking fag said,1
1410,gave k trash nonbasketball soundtrack yall still problems servers,2
1411,every gook losangeles deported killed,0
1412,rt youre father every mexicannigger loves hear,0
1413,subtweet one time dirty chink whore,0
1414,rt obama id call press conference amp slit joe bidens neck live tv show crackers mean business,0
1415,kit kat brownies making,2
1416,happy hoes smhbetter denial,1
1417,congrats amos,2
1418,youre little bitch,0
1419,wish coulda said tonight good seeing fag,0
1420,oh state enjoy trailer trash sub par sports,2
1421,nips,2
1422,yall got taxis right get oreo right possible,2
1423,rt fuck niggas would wanna continue mess messy ass bitches vs somebody,0
1424,chunky nugs doesnt even hook like,1
1425,duh thats theyre possibly tucking penis bitch got man boobs,1
1426,u unfollowed cant dm u ill say youre rude cunt lmao dm,0
1427,nbc elected spokesman nbc lot trouble friends longer watch nbc trash,2
1428,hope get better soon colds birds,2
1429,rain got yall women talking ass nigga spend income bitch bruh get hoes fuck outta,0
1430,say waste draft pick manziel mallet thats im telling delete account youre retarded,0
1431,ghetto ass bands gets snuck,1
1432,youre another nigguh,0
1433,someone part james x hes white trash cultist,0
1434,cuz whole team trash,2
1435,cookies sound wonderful,2
1436,great reply except trash,2
1437,rt happy birthday little cotton picker,0
1438,jason admitted youre stuck bitch lol think youre much better everycunt naaaaa,0
1439,grand opening top class oriental massage perfect,2
1440,iz point jealous cuz dee hoes everybody bucketsproverbs,1
1441,rt rt piece pussy,1
1442,fran hillbilly virginia mountain man pres white anglosaxon beliefs frankensteinmd kikme,2
1443,may cried tad illmissu shiner,2
1444,snap chat names please bitch snapchatt,1
1445,move country teabaggers,0
1446,say something one drake song listen im feelingsfag,1
1447,repeat u white trash,0
1448,u ask every bitch gayor bi,0
1449,idk trash though,2
1450,imaddictedto girls w fat pussy slim waist fat ass n innocent smiles truuuuuu,1
1451,wedlock births lie latinos nd place mostly driven illegal aliens w anchor babies,2
1452,got giggles im fag aint gon lie lol,1
1453,never friends entire time lived virginia one cool hope white trash southerners die,0
1454,rt kill beaner,0
1455,bad breath aint cute even called bad bitch usually cause shitty attitude unk aint ever lied,1
1456,omg dont even know kimlau sq isi would likelook bird ran hills lol,2
1457,rt claim macklemore favorite rapper im also assuming watch wnba free time faggot,0
1458,stfu white trash,0
1459,uppers loving show morning chris directing conversation beautifully make teabaggers talk,2
1460,lmao madonnas music sucks yeah youre fucking stupid think gaga better retard,0
1461,hey go look video man found kidnapped girls ohiowhat nigger shitmybosssays,0
1462,lets say hellen keller makes better brownies,2
1463,ill beat pussy thats hook right thur,1
1464,longer side bitch,1
1465,rt ashamed ill single life fuck w nasty faggot ass white man,0
1466,rt amp niggas still runnin round sayin yall dont eat pussy yall must suckin dick,0
1467,pussy powerful drug happyhumpday,1
1468,nice lie teabagger want see doesnt make real like reagan conservative another huge lie,2
1469,dani alves pulled hairstyle neymar looks like faggot,0
1470,funny thought tbt photo week would hanging trash ankles,2
1471,add name ghetto like looks like used label maker lol,2
1472,vertical nip barsi already horizontal ones think itll look hella cute,2
1473,im tired corny vines ugly faces stupid voices nigga shes sexy,1
1474,nah round molly bitches nigga mollies,1
1475,happy birthday bitch nigga thanks pal,1
1476,god awful dude dorian eggplant black,2
1477,grand opening top class oriental massage perfect,2
1478,bitch mad af,1
1479,go yankees,2
1480,water polo fucking hard respect yeah youre pussy,1
1481,pause niggas bitches tho rt boy niggaz b bitch made u cud kiss em n da mouth,1
1482,ltltltwhen yellow outside,2
1483,saves brownie,2
1484,u look like cotton picker tho rt put field work damn dee got jokes,1
1485,ape fuck u broke ass racist,0
1486,ima block hoes outor block em either one lol,1
1487,miss tupac rap offs hillbilly,2
1488,beans yellow friday night brown nowa green leaves curledfrost freezebean size reduced top end shrinks,2
1489,steek morele vinger maar j neus zelfde soort types bij nato stenigt vrouwen bosjes,2
1490,hoes thnk nigga thats ridin fence start givin lil attention u hoe wishywashy ass nigga oh,0
1491,pornhub get gaming stream feature dumb bitches gtfo get katielt,1
1492,soft shit handicapped retarded,0
1493,fucking losers wetbacks sorrynotsorry,0
1494,slopes arent us bro hahaha,2
1495,giving trailer park trash transformthursday ladykimora vegasqueens vegasshowgirls,0
1496,whatever neymar trash,2
1497,last planet apes kids minute,2
1498,reason shelby hates sandwiches queer,0
1499,lmao ur dad raised u bitch made nigga,0
1500,kidding right ill smack hoe,1
1501,pornandroidiphoneipadsexxxx closeup amateur pussy player milf close,1
1502,twitter fags,0
1503,good things must come end thats right get em tomorrow yankees,2
1504,shut legs hoe,0
1505,bu hate playa yankees hate yankees payroll hate dodgers,2
1506,rt youre fucking queer,0
1507,didnt know whitetears blue yellow lessonoftheday,2
1508,rt please stop talking scumbag faggots mugshot sexy dumb whores,0
1509,perfect stock photography article letting leprechaunlooking handyman get liquor cabinet,2
1510,rt wants chill campus w amp throw bibles bitches taking walk shame,0
1511,southcarolina full white trash,0
1512,money getting taller bitches getting blurry,1
1513,hate bitch amp fact oomf likes retweeettt x,0
1514,rt wanna sleep im outside nigger lol trying hang,0
1515,momma told tell mind yoooo damn motha fuckin business knowin bitch,1
1516,check th man cowboysnation even faggot ny fans stands,1
1517,fact rt kanye best good piece pussy fucks,1
1518,grandma used call porch monkey time come think refer broken bottle nigger knife,0
1519,okay lets fight ginger faggot,0
1520,sorry bout yanks earlwho uya like ws,2
1521,thats birds came,2
1522,anyone bring monkey,2
1523,fucking block white ass try start shit like fucking queer fuck nigga,0
1524,theboondocks nicca,2
1525,didnt forsake bitches wife getting fucked another nigga know married gotta die,0
1526,oh dogs pussy tight time loosen,1
1527,trash snd stars would scrape ur team snd pro teams,2
1528,best asian massage brooklyn park slope top rated spa,2
1529,faggot needs grow,0
1530,photos kate upton cheers yankees last nights game,2
1531,nah said fag,0
1532,going free birds anyways,2
1533,yankees beat grapefruit league day,2
1534,lmao definitely bout say dont front bitch shit freeway,1
1535,dont understand theres trash cansdumpsters everywhere theres wait till go somewhere one,2
1536,yeswedid start building windturbines fuckin big kill whole flock birds one gogt,1
1537,hope shes larger bird,2
1538,rt niggas always wanna talk god gays pussy eating last night aint god ag,0
1539,big red fat squaw lol hubby funny insidejoke,2
1540,nah honkey lookin dude chr,2
1541,want pussy dinner,1
1542,saw actual tweet scanning jihadi accounts put screen shot aid workers r spies,2
1543,mine plays dmx kirk franklin smh well neighbors ghetto get like beat kids,2
1544,bitch bitch bitch eating halibut freshrhymes jerksquad slowstir,1
1545,rt hop hoe rt come,1
1546,woof woof hot soles,2
1547,bitches pretending tf crazy aint never lied,1
1548,trash talk win championships youre boring dude nationalchamps,2
1549,lesbian pussy taste like rainbow trout lezzzbehonest,1
1550,lester tried eat bird,2
1551,rt niggaz like naked bitches ig pics niggaz dont love em,0
1552,swear god nigger better still hang work got hype,0
1553,rt rt average need scale ghetto u,2
1554,rt fuck say bitch kill,0
1555,talk back aint getting pussy,1
1556,omarion ol girl w negative ass vibe hate mamas like hoe need,1
1557,thingsnottodoonafirstdate give da dick u gotta half stroke da pussy bc u dump dick dat bitch gon become extremely anoyin,1
1558,rt real dont put money nigga books chu buy bitch chanel hit puss,0
1559,found new way chug open mouth alot shitallysays,2
